XDSegID,OSMWayIDs,OSMWayDirections,WayStartOffset_m,WayEndOffset_m,WayStartOffset_percent,WayEndOffset_percent
116364583,5127420,N,0,415.18,0,99.998
116331545,5125042,N,82.95,184.51,12.508,27.821
116337789,115687195;5126796,N;N,230.09,11.47,57.433,6.006
116358624,92364884;515976268,P;P,0,180.71,0,20.088
116380506,515976268,N,667.49,718.88,74.199,79.912
116386306,92367201;92367202;558339020,N;N;N,77.04,114.17,37.687,22.207
116434455,92363511;92363508;179187398,N;N;N,2743.07,116.23,95.325,2.592
1237062887,151317372;178566944;178566943,P;P;P,220.47,164.36,33.673,27.489
1237063032,519007015;519007009;571399331;127455083,P;P;P;N,114.94,594.61,73.529,25.199
1237062305,49105960;503909111;49105959;364850041;447346737,P;N;N;N;N,0,31.88,0,1.373
1237061940,31827138;117445986;191017258;27593301;31846951;463038526,P;P;P;P;P;P,0,5.98,0,99.667
1237060004,123415556;188395117;106806484;188395110;188395112;188395108;188395119;188395115;188395113;188395122,P;P;P;P;P;P;P;P;P;P,0,270.42,0,99.985
1237059756,701338590;188500089;605500530;634054964;605500524;634054965;605500526;605500522;605500523;634054866;605500520;605500521;605500532,N;N;N;N;N;N;N;N;N;N;N;N;N,979.42,88.43,91.139,9.348
